y	x
1	encouraged
0	may have doubts
0	no longer fit
0	has not been accepted
0	fuel guzzling
0	bad treatment
1	peaceful resolution
0	put most of the blame
0	belligerent
0	fake imposter
0	demand
1	urge
0	may not be feasible
0	declining to endorse
0	very abrupt
1	the hope
0	unprecedented
0	to voice his concern
1	importance of
0	axis of evil
0	contradictory
0	firebrand
0	concerned i become
1	back on track
0	more concerned
0	unequivocally denied
1	even democratically elected and at war against evil
0	posturing
0	vowed
0	very hard line
0	accusations
1	free and fair
1	resolute
1	is calling for
1	is ready to respect
1	firm support
0	has likened
0	supremacy
0	are going to voice their concerns
0	not much better
0	did not show the slightest sympathy , still less the least regret
0	we ca n't allow
0	trying to hide
1	was committed to protecting
1	many thousand generously funded
1	enhance
1	is reasonable , humane , legal , proper , and compatible
0	infinitely difficult to reconcile oneself
0	shouting insults
0	any sort of logical
1	would stop
0	probably unfortunate
0	neutralized , heterogeneous , impatient and politically immature opposition
1	fall along the path of martyrdom
0	lot of heartbreak over the years
0	without trying to maneuver , place obstacles , or set impossible conditions
1	will be successful in their work
1	aspirations
0	terrorizing
0	they rubbed their palms at length
0	charged
1	as an unshakeable defender of this same justice
0	to hate
0	to fight against international terrorism
0	rejected
0	allah knows what
0	criticizing not
1	expressed
0	many mistakes
0	one of the worst days in american history
0	as if
1	happy
1	want
1	support
1	safeguarding peace and security
1	the desire
0	it is the united states that is threatening
0	injustice
1	supports
0	do n't mean that 's so
1	compromising
1	eagerness
0	it could devalue and spark inflation
1	agrees
1	that we unite and come together as one people
1	better than anybody could have hoped for
0	unselfconsciously
1	more precise
1	a success
0	sees
0	such a concept gets us nowhere
1	dignity
0	anti chavez protest
1	substantially represented
1	expected
0	axis of evil rhetoric
0	speak ill
0	reproached
0	rigged
0	deals a blow
0	deigned
0	useless sophistry
0	defiant view
0	accusing
1	enthusiastic
0	deeper the international crisis , the better
0	below minimum standards
0	abuses
0	will have sown the seed
0	be reproached
1	acquires special relevance this year
0	realise
0	vicious battles
0	regards
0	should not have
1	as if everything there were going fine
0	points fingers
0	divide and rule
0	has regarded
1	is achieved after thousands of years of research
1	aims
1	supports
1	honorable
1	peaceful way forward
0	never
0	perils of delusion
1	it is true
0	to denounce
1	support
0	a political stratagem
1	hoped
1	called on
1	will do whatever it takes to defend our security
0	very despicable act
0	lie
1	wishes to state
0	discrediting
1	better way forward
1	scope for more improvement
1	favorable opinions
1	has asked
0	only create mistrust
0	it is not possible to rule out the risk of a breakdown
0	dedicate themselves to lamenting
0	assassin
0	threatening
0	fight against
0	the concern
0	disagreements
0	will have all sorts of misgivings
0	merely reflects
0	axis of evil
1	excited
1	aimed at solving the issue
0	have been cool
0	is accused
0	the dictates
0	repetitive
0	hints of war
0	weak or even nonexistant
1	had all thought
0	powder keg
0	suddenly going to become reasonable
1	thunderous applause
0	caustically criticized
0	rejected
1	want
0	inhumane
0	looked in tears
0	concern
1	respecting
0	simplistic
0	appear to make it easier to rig the vote
0	accused
0	worst
0	as it sees fit
1	got the nod from
0	unfounded charges
1	is demanding
1	regard
0	the guilt or otherwise
0	the failed coup attempts that the united states first blessed and then disavowed
1	calling for
0	enormous
1	praised by
0	unclear
1	favored
0	come out opposing
0	willing to escape , to kill themselves and others
1	value sharing
1	promising
0	puts off any
0	will take back conditions to their former state of tension
1	caution
0	the nature of
0	violates the principle
0	has been sounding the alarm
1	maintained a clear cut collaborative stance towards
0	ill disciplined
0	attempted
0	now let us compare
0	understand
0	more alarming faults
0	failure would be a foregone conclusion
0	warned
0	uncontrollable social situation
0	perception
1	support
0	failed to meet international standards
0	arbitrarily
0	viewed
0	likened
0	are against the spirit
1	finally started tumbling down
1	begins to bear fruit
0	whether it follows us baton
1	highly in favor
0	major fear
0	see the world in terms of good and evil states
0	by flashing a carrot on a stick
0	reproached
0	unusual
0	systematic campaign of violence and intimidation
0	elite
0	the accusations
1	cooperate
0	absurdly
1	interested
0	criticisms mainly focus
1	so that
0	to the detriment of brazil
0	would have exceeded his authority
1	political stances that are totally biased
1	adopted
1	messages of encouragement
1	calm
1	effective solution
0	are worried
0	they discredit the usa
1	supported
0	traitorous
1	will finally deliver on his promises
0	and punish those guilty
0	axis of evil
0	undemocratically
0	even more intolerable
0	demeaned
0	assassinate innocent activists and citizens
1	good education system
1	good
0	no one we know to have planned such deeds will escape
1	have the illusion
0	challenged
0	already disastrous
1	liberators
0	catering to the interests of the us oil and coal barons
0	not likely
0	in fact poverty
0	pained him
0	lashed out
1	perhaps the international community is right
1	support
0	the plotters
0	made the investigation more difficult
0	spew
0	resorting exclusively to
1	still want
0	find no grounds for any support
0	axis of evil
0	still far from equal
1	grand bargain
0	saddam hussein is the next target unless iraq shapes up
0	remain a risky enterprise
1	exalted
0	certainly not raised us image
0	tragic
0	simply used old drafts
0	became concerned
0	threatened
0	fleeing from injustice and totalitarianism
0	widespread disgust
0	deformed
0	immediate exploitation
0	mocked
0	axis of evil
0	is still bleak
0	neither free nor fair
1	stay together
1	demands
0	the rhetoric of good and evil is not suitable
0	refused to discuss
1	see
0	to paint a dark picture
0	frighten
0	the destruction
0	dramatic
0	the same and worse
0	disbelieving
0	slammed by
0	to mould the electoral process in his favour
0	does not want
1	was more than confident
0	extra judicial liquidations
1	the invitation of kingmakers to accept the crown
0	not even be sufficient
0	a man blinded by power
1	progressive
0	to denounce
0	was wrong
0	willful expansion
0	did not conform to international standards
0	against
0	rejection
0	israel makes itself appear
1	more comfortable
1	proclaimed
1	one of the most popular
0	to send a memorandum of protest
0	never stopped to consider
0	difficult israeli demands
0	so conservative that it makes pat buchanan look vegetarian
0	but the alternatives are worse
0	does not appear
1	will push for
1	promised
0	has accused
0	so called great satan
1	competent
0	will allow emissions to increase without any time frame , eternally
0	increasingly isolated on the international stage
0	was rejected
0	bellyaching
1	should follow
0	plotting
0	have also moved to contest
0	refused
0	criticism
0	a great wall of china in the middle east
1	confidence
1	allow for a free and fair presidential election
0	were callous
0	as usual
0	clearly influenced by the greeks
0	demonstrated
0	do not enjoy the minimum guarantees
0	fattening
0	argued
0	charges
0	had forbidden
0	the us was the only judge of what was reasonable
0	frustrate
0	showered upon favours
0	fiercely waging a fight
1	well
0	enormous implications
0	would do anything to avoid
0	total benefit of that has been earned by the united states
0	could range from collective disapproval to suspension
1	successes
0	maintains
1	only a fraction
1	having success
0	hurt
1	have made a difference
0	catastrophe
0	rejected
0	one of the grossest type of human rights violations
1	support
1	generally approved of
0	certain excesses
1	supported
1	would like
0	criticism over
1	willfulness
0	provoke an aggressive war
0	enemy
0	unlawful
0	accused
0	once again
0	resistance
1	hope
0	has refused
0	deny
1	were also appealing
1	wants
1	on realistic and just bases
1	quite valid
0	not going to let it go
0	have also aggravated
1	a window to the century
0	would exert excessive influence
0	willfulness
0	have no intention
0	normalisation with the zionist enemy is a crime against the country , nation and humanity
1	solid and often eloquent
0	berating
0	had the illusion
1	our party has been genuine
0	wrong
0	criticism
0	public curiosity
1	the support of
0	a very complicated process
0	concerns of
0	charges
0	dictate or intimidate
0	loss of innocent lives
0	oppose
0	warned
0	have been concerned
0	choked off
1	promised
0	it is a futile illusion because it is a lie
0	humiliates
0	how capricious
0	no murderer will go unpunished
0	pointing its finger of blame
0	strong criticism
0	charging
0	everyone pays dearly for his mistakes , and somehow manages as best he can
0	to elicit much support abroad
0	no way
0	concern
0	such regimes
0	had n't been a good likeness
0	protested
1	values
0	daylight robbery
0	has written the name of moscow on the registration page of the american side
1	sincerity
0	exercising dictatorial powers
1	firm support
1	reassured
0	confusion
0	largely try to keep as much hegemony
0	denunciation
0	axis of evil
0	threat
0	gaffe
0	israeli tanks are pushing further
0	ever deteriorating
1	great people
0	american pressure
0	everybody jumped without checking whether there was a proper safety net at the bottom
0	does not look very good
1	nutritious
0	alone is overwhelming
0	deny
0	flawed
0	has denounced
0	fears
0	not in step with
0	stage
0	ugly split
1	culturally appropriate
0	have seen such suffering
1	is ready to support
1	just , legitimate rights
0	peaceful protests
0	sabotage by white farmers
0	obvious disagreement
1	quite supportive
1	legitimate
0	attacked without hesitation
0	in fact unprecedented
0	sympathize
0	deteriorating
1	the twin towers of new york may not have collapsed
1	sought
0	too many restrictions
1	more than that
0	firmly on the wrong side of international law
0	only too aware
0	took to the streets
0	to subjugate it
0	would have less leeway
0	impinge
0	to condemn
0	heresy
1	thanks to increased public awareness and access to information
0	now have to brave gangs of zanu pf thugs
0	american background
1	intelligent , rational
0	may not be a correct basis
0	distortion of reality
0	a group of arab and israeli peace activists , who wanted to bring food to ramallah , is expelled
1	lent credibility
0	unfair
0	severely
0	devastating
1	just wanted
1	would be interested
0	soon erode
0	adopted a resolution criticizing
1	seeking
0	are in shreds
0	have n't already violated
0	has provoked concern
0	is firmly opposed to
0	quarrel
0	embody the bankrupt policy of israeli criminal extremism
0	disapproves
0	confidence in it is waning
0	steel cages
0	as good as his word
1	is supporting and protecting
0	fit of force
0	gaffe
1	runaway
0	accusations
0	it can not be anything but gangster like logic
0	only one battle
0	warned
1	supporting
0	never enabled
0	the refusal
0	real
0	the worst
1	provide support to the us , as it did
1	pleased
0	ulterior motives
0	prevents
1	to accept
0	is an act of objectionable brutality
1	resistance
1	intensive efforts that our big sister , egypt
0	charges
0	held
1	his commitments
1	supported
1	integral part of the successful formula
0	evil country
0	willing to die
0	gross misstatement
0	terrible equation
0	contradicts the efforts to calm down the situation
0	you face a catastrophe
1	strong support expressed
1	hot showers
0	herein lies his wicked intention
0	supposedly
0	very likely
0	the perpetrators
0	in a risk zone
0	those who sow the wind will reap a whirlwind
0	meaningless
1	being supported
0	under no circumstances
0	in gleaming suits
0	isolation
0	major
1	would win
1	was compelled to partially recognize
1	invitation
0	war against islam
0	refuse to fulfill its obligations
1	resistance
0	severely blamed
0	raising the objection
0	balkanisation
0	resented
0	regarded
1	are more interested
1	wants
0	slander
0	axis of evil
0	has to be maintained at any cost
1	hoped
1	to the liking of
0	only
0	linked
1	significantly
0	axis of evil
0	voiced
0	would not stand idly by
0	vague
0	axis of evil dogma
1	urge
0	total disregard
1	thrown its weight behind
0	opposition
0	do n't bother
0	criticisms
1	downplayed
0	outsource our moral obligations
0	threatened
1	the importance
1	is reflected
0	threatening
0	indifferent
0	can not be taken seriously
0	damage
0	protests
1	peace
1	the suggestions of
1	recognition
0	were ill received
0	injustice can not last long
0	further expressed alarm
0	provoking
0	preposterous
0	human rights violators
0	obsolete
0	must condemn
0	there is no alternative to it but conflict , isolation , nationalism , and ultimately war
1	looking to be disciplined
0	ugliest crimes
0	sitting on the sidelines
0	chavez' incapacity
1	their glorious struggle for these rights
0	israel 's atrocities
1	most cost effective
1	complain
0	criticism
0	quite the contrary
0	mired in
0	accused
1	victory
0	fears
1	has not failed
1	sided
0	incomprehension
0	manipulation
0	to heel
0	had rebuffed
0	decisions not to accept
0	they want to hold us hostage
0	in death rather than staying alive under occupation
1	to recognise
0	axis of evil
0	are not competitive enough
0	unfortunately
0	to teach everyone , the british first
0	who does not miss an opportunity
0	reckless
0	condemned
0	as he calls it
0	commits a crime
0	the u s government ``is the source of evil'' in the world
0	superpower has entered a legal fog
1	have expressed interest
1	hoping
1	requesting
0	threatened
1	prerogative and sovereign right
1	approves
0	advanced
1	hoped
1	firm and decisive
0	frightening voters
0	they are a bit of a tangle
0	continued
1	disintegrate
1	has kept a close relationship
0	resounding and sustained fall
0	axis of evil
0	not true
0	an unjust one
0	can not accept
1	goodwill
1	advised
0	is regarded
0	misjudgment
0	preventing
1	has displayed unrelenting resolve and confidence
1	asked
1	spirit of the geneva convention
0	the problem was disposed of in two hours
1	or even eliminated
1	in praise of those 'damn yankees
0	neocolonial attempt
0	even if their special status comes from the fact
1	the importance of china
0	will not be able to take the steps absolutely necessary
1	expressed understanding
1	the agreement
0	have criticized
0	oppressed
1	his victory was a triumph against the west and whites
1	will want to know
0	running my ass off chasing you guys around
0	was a deluge of doubts
0	an arrogant little fellow
1	interest
0	in metal cages named detention centres
1	justice always finds support
0	concerning their life or death
0	to hide from protestors
1	strongly called on
0	angered
1	succeed
0	will be a disaster for bush
0	not
0	took advantage
0	resignation
0	see
1	is after imposing
1	let 's support them
1	were noteworthy
0	opposition
1	claiming
0	ruined
0	the cia would organize coups and assassinations to further us interests
0	grave civilian suffering
0	chapter of international terror
0	unpreparedness
0	excessive or at the wrong time
0	will be barred
1	lending any support
0	the criticisms
0	crush
0	do n't push
1	support
0	cold war heritage
0	only got worse
0	chaos
0	will be meaningless
0	fear
1	favouring independence
0	disqualified president
0	showed a lack of sincerity
0	pessimistic
0	plotting
1	has taken a stand in support
0	waning grip on power
1	having opted for
1	eradicate
0	tarnishing the us role
0	for months
0	dogged
1	treated well
0	unpopular system
1	will prove respect for human dignity
0	indirectly criticised
0	do not proceed to condemn them
0	doubtful
0	sanctions against
0	but
0	take what you can while you can
0	communal flames
0	extremist inclinations
1	eagerly awaited
0	opposition
1	true , legitimate , and elected
0	accuses
1	smooth flowing
0	to challenge
1	giving him medium approval
0	failing to support
1	invite
0	not for skyjackers
0	not adequately free and fair
0	never
1	could possibly want
0	so called axis of evil remark
0	surrounded to the point of strangulation
1	niche of affection and solidarity
0	could think of nothing better
0	finally entered a dangerous stage
1	were honest
0	risks
1	has recognized
0	are to blame
1	was happy
0	remained poor
0	cope
0	do not sincerely share the values
1	strongly welcomes
0	criticized
0	ran out of patience
0	even more serious
0	desperate last minute act
1	could n't wait
0	has denied
0	campaign of suppression
0	accused
0	like a dangerous virus
1	humanely
0	apocalyptic savagery
1	encouraged
1	are carrying signs appealing
0	their own
0	hyperbole ,
0	seemed unyielding
0	second side in the us axis is israel
0	rightly
0	problems
1	personal interests
0	axis of evil remark
0	an illusion
1	can turn this to their advantage
1	as small ( yet acceptable ) as possible
1	supports
1	wanted to clarify
0	does not mean
0	far worse than those prevailing in camp x ray
0	disagrees
1	hope
0	not intent on revitalizing its economies
0	complained
0	is diametrically opposed
0	hardest hit
0	has not once
0	are afraid
0	opposed
0	this warning
1	insisted
0	labelling
0	to remove the legitimacy of
0	question
1	reaffirmed
1	hoped
1	am hopeful
0	no confidence
0	catastrophic
1	believe
0	bias against
0	change to disappointment
0	did not adequately allow the free and fair expression of will
1	is optimistic
0	severely damaged
0	deteriorating with each passing day
1	certainly an ideal location
1	all join in
0	has rejected
1	are eagerly awaiting
0	the entire palestinian people
0	allegedly threatening
0	backing out
0	bias against
0	this is the final nail on the government 's coffin
0	certain apathy
0	the short lived interim president , boss of bosses
0	grave concern
0	whether the american society is not reverting to the 1960s
1	quick return to the negotiating table
1	protect the environment
0	axis of evil dogma
0	hostility
0	ongoing afghan crisis
1	proposals
0	assailed
1	thanks to
1	most importantly constructive and positive
1	optimists
0	stop supporting
0	has no chance of living and developing peacefully
1	signalling our support for
0	a dysfunctional space program
0	clearly show serious unbalanced states of mind
0	agitated
1	wants
0	vented her anger
0	alleged
1	continue to encourage
0	pit against
0	not in keeping with
1	guaranteeing peace , security , and stability for all nations
0	criticizes
0	the threats
0	the problem is , who can ensure that these guidelines will indeed be adhered to
0	despots around the world will know how to exploit
1	a much better position
1	have called for
1	backing
0	staggering
0	are becoming nonexistent
0	unavoidable
0	resulted in many people being killed or tortured that did n't need to be
0	axis of evil
0	is sure
1	was heard with interest and attention
0	by fraud
0	is very concerned
0	the evil that must be destroyed
0	israeli aggressors
1	was seen
0	inaccurate
0	just the way the prisoners like it back home
0	victim of terrorism
0	could trigger a reaction
0	is concerned
0	would still never be justifiable
0	often must cope without
0	hands behind chechen terrorism ,
0	such a mindset will impair
0	has been reluctant
1	called for
0	wholesale rigging of the vote
0	a casualty of his own government 's attempt to maintain favor in washington
0	reticence
1	unanimous desire and will
1	to support
1	believe
1	progressive
1	respect
0	very large
0	heavy burden
0	no more than that
1	agreed
0	horrors of
1	would have been logical and acceptable if
1	escalates that aggression to a point
0	shortsightedness and irresponsibility
0	widespread concerns
0	toy with the world in palms of their hands
1	friendship
1	strong initiative
1	congratulated
1	hoping
0	or so it claims
0	immediately attacked
0	the first chance they get
0	not completely reliable
0	inexorably
0	had rebelled
0	has ignored
0	branded
0	however
1	died and gone to heaven
0	abundantly clear
0	one must not confuse justice and vengeance ,
1	invited
0	to teach a lesson or two
0	desire for revenge
0	blame
0	to take issue with
0	had not been willing
0	slandering
0	alone
0	is her nemesis
0	is always a tough call
0	if the world has to rid itself
0	will not be able to change until the end of mankind
0	break' the spirit of
1	respected
0	if it becomes more of a nuisance
0	was deemed
1	eradicate
1	preferred
1	praised
0	grim years
1	free and fair
1	humanely
1	accepted
1	support
1	pass up the biggest chance of his political life
0	enormous implications
0	we will go to war
0	threats against
0	great shock and sorrow
0	charged
0	was resisted
1	are unanimously demanding
0	the protest
0	unsure
0	scares away
0	position of not recognizing
0	not to deal with
0	instigating
0	that axis of evil statement
1	be satisfied
0	everything seems to be collapsing
0	give or take a trillion
1	wants
0	feels
0	has never tried
0	occupy palestinian cities
1	vindicated for himself
1	do wish
0	intimidated and beaten
0	was unable to recommend
0	can not integrate itself
0	gave poor grades
0	observed ironically
1	decisive breakthrough
1	temporary security
1	praised
0	it continues to twist the logic of things by turning a blind eye to israeli murderers and describing palestinian victims as terrorists
0	reject
1	supported
0	refuses
1	advantages
0	an uneasy atmosphere reigns
0	unpopular
1	backed
0	charging
1	insist
0	the complaint
0	antagonism
0	accused
1	rightly considers
0	perception
0	totally unrealistic budget was prepared
1	interests
0	refused
1	hoped
0	most heavily armed place in the world
0	has no right
1	agreement or understanding
0	predatory behaviour
0	under the pretext of fighting terrorism
0	realized
0	is deemed
0	crippled
0	sponsor terrorism
0	about three million bitter people
0	denied
1	vowed
0	recognizes
0	despite the sept 11 atrocities
0	do not even have
1	willing
1	peaceful
1	fortunately
0	rejected
0	imperil
1	tried
0	relegating the defense of democratic principles to a subordinate place
1	very forthcoming
0	occupy illegally
0	method reporting
1	has held the high goal
0	will never tolerate
0	loss of credibility
0	resentment
0	has become tense again
1	liberation and independence
0	the axis of evil
0	there is no scope for such madness
0	too is seriously damaged
0	ambiguous
0	the failure to discuss
0	too high
0	invisible
1	should welcome
1	wanted
0	will be entirely happy
0	opposed
0	is making a mistake
0	accused
0	rejects
0	not reflect the true will of
0	not even
0	merely a gesture
0	topple
1	need to establish a just peace
0	self destructive
1	was very strong about this
1	far preferable
0	it is certainly playing games
1	has perfectly accomplished
1	pride
0	produces an illegitimate outcome
0	claimed
0	bloody
0	oic eu front against the united states
1	tamed inflation
0	fears
0	criticism
1	appears to have opted for solidarity in support of
1	urged
1	objective and circumspect
0	bad
0	mounting rivalry
0	as bad a human rights record as
0	murder all of us
0	accuse
0	allies are not satellites ,
1	hoped
1	encourage
0	criticizing
0	may put back by years
1	good job , buddy
1	victory
0	criticised
0	real sting
0	crusader
0	scorn
0	one sided approach
0	difficult situation
0	criticizing
1	raised expectations
1	endorsed
1	gives the saudi government its due
1	determination to confirm and honor
0	called on
0	decisions
1	grand
1	sent congress a message calling for
0	ban on holidays and a golden retirement
0	collapse looked imminent
0	which is getting worse day after day
1	welcomed
0	alleges
1	one of the most successful
0	clearly did n't work
0	feel
0	the possible risks facing indonesia
0	considered
0	will be tarnished
0	the top violator of human rights of the last christian year
0	certain circles
0	an opponent
0	culprits
0	leading a racist campaign against
0	part of an axis of evil any country which does not follow the its policies
0	prevented
0	refusal
0	could object
1	tried to encourage
0	hot bed of opposition politics
1	his best
0	humiliate
0	in mourning
1	contributions
1	welcomed
0	plight of
1	finds
0	openly threatened
0	against obstructing
1	in the hope
1	long refused
1	smoothly
0	refuses
1	new , better run
1	objectively
1	could welcome
0	a nonsense term
1	can at best
0	cronies
0	is not qualified
0	worsening
1	would make it possible
1	agreed
1	keeping its good and evil from everyone else
1	recommendations
0	aid for terrorists
0	cut any routes
0	falls at a bad time
0	incapacity to put crime under control
0	such a false
1	will develop a relationship of cooperation
1	humane
0	think
0	pretended
1	asked
1	relative success
1	as awareness increases
0	crushing
0	axis of evil
0	will fight
0	opposes
1	had favored
0	accused
0	will fight on
0	threats
1	recommendations
0	at the expense of
0	the warnings
1	will acknowledge
0	axis of evil
0	was worried
0	would possibly forfeit all recent efforts
0	doubts
0	concern
0	a shocking story
1	upright
1	insists
1	can be abated
0	accused
0	demonstrated little respect for basic human rights
0	virulent
0	the evil is real
0	divorce
0	and killed
0	for fear of
0	relished the role of cassandra to the philippine national police
0	threatened
0	serious
0	fraudulent
0	at the expense
0	chaotic
0	lead to questions
0	criticism
0	too small
0	dismisses
0	get away with bad policymaking
0	the branding
1	support
0	concern
0	dubious circumstances
0	continues to indefinitely refuse
0	had accused
1	better
1	support of
1	glowing economic success story
1	maybe
1	legitimate national rights
0	would never
0	flawed
0	would hurt the people
0	has rejected
0	condemn
0	accused
0	can never be right to indulge this disease
1	bring hope for african economic renewal and greater democracy
1	failed
0	dangerous
1	we have nothing to hide
0	claims
0	was an act of war
0	neither
0	would undermine
1	huge excitement
1	will seek to support
0	alone is overwhelming
0	deep wounds
0	the familiar psychodrama
0	putting his life in danger
0	almost certain
0	nor especially democratic
1	will of
0	can not adequately explain
0	picked a quarrel
0	could fray the bilateral goodwill
0	threatening the world 's peace
0	disagreed
1	called for
1	that privilege
0	beginning a new offensive on religious minorities , persecuting muslims
0	reportedly
1	wish
0	excess self confidence
0	could support
0	are only
1	support
1	the principles of kyoto were fine
0	before it disappears
0	a degree of repression
0	but will also disrupt
1	should forge unity
1	good idea
0	is also working to push
0	already placed him in the evil camp
0	bitter deadlock
0	delivering further criticism
0	possible strikes
1	appealed
1	prevent such a development
0	does not want to learn
1	victory
0	to deny them an appeal before court of law
0	this has not been the case
1	china 's tremendous development potential
1	deserved
0	suspected
0	were considered
0	has accused
0	only to mislead
0	the efficiency of bulgarian dmv workers
0	were protesting
0	can not be effective
1	get excited
0	have formally renounced
0	would set a precedent that could affect the fate of us soldiers sent out to risky areas of this planet
0	meaningless
0	if there is no confidence
0	erroneous acts
0	seizes a weeping globe in his monster size hands
1	best news
1	good guests
0	ever
0	interfered
0	extreme weakness
0	may be
1	more clearly
0	no benefit at all
0	not just any lawbreaking person
1	advocates
0	dropped
0	charged
1	step in the right direction
0	crimes of war
1	with good economic management , israel should have little trouble
1	interests
0	his less illustrious colleagues
0	attempting to develop weapons of mass destruction
0	most widespread protest
0	villains
1	unity
0	mandatory
0	warned
1	the civilized world
0	flaunt its hostility toward
0	might raise the hackles
0	negated
0	great evil on open display
0	makes the republic of china vanish
1	hopes
1	to maintain calm , to keep faith , to continue working on the road toward democracy , freedom and peace
1	would honor
0	assuming a rigid stance against
0	blamed
0	it is pure rhetoric
0	not free and fair
0	poor
0	of chained and humiliated
0	adverse report
0	liquidation
0	having rejected
0	view
0	dissatisfaction
0	usurping , occupying , aggressive , and racist entity
0	unbearable burden
1	peaceful
0	killing innocent children and people
0	running slightly against
0	abuse of history
0	overreacting
0	criticizes
0	the illusion
0	lose the right to count itself among the world 's democracies
0	backed out
0	pentagon damage control
0	no quick fix
0	united states' hostility to islam
1	pursuit of its global agenda
1	steering the nation to prosperity and progress
1	legitimate self defence
0	nothing but a mere public relations tool
0	no longer any more of a problem for europe than the lack of development
1	sending out a clear message of peace that is loud and clear
1	commitment and respect
1	hopes that were raised
0	its burning territorial ambition
0	has floundered
1	will help renew
0	considers
0	onslaught of the international credit vultures
1	appeared to go well
0	israeli expansionist plans
0	has been on edge
0	one
0	concerns
1	fell in line with
0	the protest
1	to the healthy development of sino us relations
1	to persuade
0	warned
1	justice must be done
1	agreed
0	only
0	to protest
0	chief opponent of
0	the charges were not just fabricated
0	accused of
1	believe
0	were treated with suspicion
1	as a vehicle for increasing personal popularity
0	feel
1	taking the stand supporting
0	just cages
0	harmful
0	troublemakers
1	offering
0	it violates the rule of law
0	condemnation
1	welcome and support
0	discontent
0	attitude
0	are concerned
0	tried to tear up
1	can support
0	illusory
0	questioning
1	in satisfactory terms
1	at least
1	peace be upon him
0	thought
0	pretext
0	so called war against terrorism
1	make this request
1	support
1	supports
0	express their concern
0	declined
1	some breathing room
0	provoked
0	gave the guerrillas the right
0	collective illusion
0	monstrous inhumanity
0	the peace treaty was in favour of the zionist enemy
0	grave human rights violators
1	enjoying hygienic and food conditions that were very superior to what they could have known in afghanistan
0	rejected
0	what begins to happen when we hate our friends
0	axis of evil theory
0	provoke
0	remove suspicion
0	acts of insubordination
0	pretext
0	has refused
1	great efforts
0	voices critical
1	has struck friendships
0	if tel aviv has not noticed
1	support
0	do n't deserve
0	mistake
1	in addition to being effective
1	determination
0	protests
0	however
1	gained high appraisal
0	rebelled
0	the protest
0	gone awry
0	nibbling
0	compatriots
0	opposition
0	rock throwing youths responded
0	worry
0	would not like
0	are bracing
0	compliant
1	will benefit
0	paralyzed
0	distorts
0	is considered
1	its support for
0	could cause serious damage
1	more democratic
0	evil empire
0	abruptly
0	writing off
1	declaration of support
0	it is not clear
0	will rise
0	was meant to punish
0	sets a dangerous precedent
0	launch attack
1	eventually offered talks
0	can jeopardise peace and security , law and order
0	anti western
0	fundamentally can not accomplish anything
1	calls for
1	commendable
0	to humiliate
1	was determined
0	so called
1	go into the streets en masse and defend and support
0	would be protesting
1	extremely strong support
1	at last
0	may not
0	personal arrogance
0	pressure and coercion
1	appreciable
0	are concerned
0	failed to defend
0	blame for this fruitless effort
0	have accused
1	endorsed
0	row
0	have committed many sins
0	violating
1	all out
0	serve as a warning
0	the outrage
0	no place in israel can be considered safe
1	friendship and cooperation
1	but also
0	at present
0	above all contradictory
0	how accustomed they are to trickery
0	remarks calling
0	draw vindictive reactions
1	hope
0	single handedly destroyed
1	victory of democracy
1	was a good thing for the hemisphere
1	peaceful
1	the approval
0	force
1	respect
1	extra vigil
0	one sided , self righteous policy
1	will be welcomed
0	shook
0	not a basket case
0	takes a side
1	expressed confidence
0	breeding ground
1	humane
0	allegations
1	positively assessed
0	shooting unarmed civilian demonstrators in cold blood
0	the ford falcon syndrome
1	support
0	may have erred
1	transparent , credible , free and fair
0	plunged the palestinians and israelis into an endless cycle of violence
0	adulteration or deceitful use
1	has obviously counted on
0	might even be higher than
0	patronizing
1	praised
0	considers
0	they can not be trusted
1	endorse
1	safeguarding
1	successfully
0	designated
0	the warning
0	terrorists believe that anything goes
0	axis of evil
0	did not support
0	disagree
1	undivided support
0	this is bullshit
1	the government continues to uphold the freedom of expression
0	absolutely not permitted
0	warning
0	have been growing less visionary
0	charges of
1	improving
0	i lost any sense of dignity
0	regret
0	will once again feel
0	lack of sincerity
0	hypocrisy
1	justice always finds support and sympathy
1	support
0	excuses
1	restraint
1	how docile
1	principles of justice
0	according to americans , this sort of humanity does not qualify for any of the laws
0	reticence
0	are against
0	very odd
1	defends
1	every effort possible
0	more serious and direct challenge
0	denies
0	pot calling the kettle black
0	criticism
1	without room for rigging
1	gave their thumbs up
0	imposed by military force
0	ostracising
0	openly denounce
1	can make one tumble and roll over 77 times
0	hardline
0	horrifying act of oppression
0	did not even have the goodness
0	excessively harsh
0	does not take any responsibility
1	history has given us a unique opportunity to defend freedom
0	is brazen
0	the fear
0	infamy against civilization
0	raving
1	would also accelerate
1	praised
0	stars and stripes
0	grew and grew
1	strictly abide
0	mainly concerned
0	making themselves felt far from the battlefield
1	have tended to side
0	once again
0	to put it mildly
1	moments of sheer exhilaration
1	resolute commitment
1	congratulated
0	feels itself committed
1	preserve
1	wanted
1	expressed the hope
1	has supported
0	slammed
0	could have ranted and raved
0	keepers
1	supporting
0	treating these prisoners like an ostrich
0	strategy of suppression
0	chanted
0	unhappy
0	against
0	mandatory
0	charges
0	axis of evil
1	deepening
0	is being accepted for the present without much complaint
1	will back
1	fairly sophisticated
1	optimistic and hopeful
1	support
0	second only to that of a nuclear war
0	no justification
0	increase in the people 's anger
0	threat
1	popular support
0	real danger
0	mutiny
0	does not reflect
